,SID,CID,date,attendance
153,3,4,2018-04-21,attended
154,3,4,2018-04-28,attended
155,3,4,2018-05-05,excused
156,3,4,2018-05-12,attended
157,3,4,2018-05-19,attended
158,3,4,2018-05-26,attended
159,3,4,2018-06-02,attended
160,3,4,2018-06-09,attended
161,3,4,2018-06-16,attended
162,3,4,2018-06-23,attended
163,3,4,2018-06-30,absent
164,3,4,2018-07-07,absent
165,3,4,2018-07-14,attended
166,3,4,2018-07-21,attended
167,3,4,2018-07-28,absent
168,3,4,2018-08-04,attended
169,3,4,2018-08-11,absent
170,3,4,2018-08-18,attended
171,3,4,2018-08-25,attended
172,3,4,2018-09-01,attended
173,3,4,2018-09-08,attended
174,3,4,2018-09-15,attended
175,3,4,2018-09-22,attended
176,3,4,2018-09-29,attended
177,3,4,2018-10-06,excused
178,3,4,2018-10-13,excused
179,3,4,2018-10-20,attended
180,3,4,2018-10-27,attended
181,3,4,2018-11-03,attended
182,3,4,2018-11-10,excused
183,3,4,2018-11-17,attended
184,3,4,2018-11-24,excused
185,3,4,2018-12-01,attended
186,3,4,2018-12-08,attended
187,3,4,2018-12-15,attended
188,3,4,2018-12-22,attended
189,3,4,2018-12-29,attended
190,3,4,2019-01-05,absent
191,3,4,2019-01-12,attended
192,3,4,2019-01-19,attended
193,3,4,2019-01-26,attended
194,3,4,2019-02-02,attended
195,3,4,2019-02-09,attended
196,3,4,2019-02-16,attended
197,3,4,2019-02-23,attended
198,3,4,2019-03-02,attended
199,3,4,2019-03-09,attended
200,3,4,2019-03-16,attended
201,3,4,2019-03-23,excused
202,3,4,2019-03-30,attended
203,3,4,2019-04-06,absent
204,3,4,2019-04-13,attended
205,3,4,2019-04-20,attended
206,3,4,2019-04-27,attended
207,3,4,2019-05-04,attended
208,3,4,2019-05-11,attended
209,3,4,2019-05-18,absent
210,3,4,2019-05-25,attended
211,3,4,2019-06-01,attended
212,3,4,2019-06-08,attended
213,3,4,2019-06-15,attended
214,3,4,2019-06-22,attended
215,3,4,2019-06-29,attended
216,3,4,2019-07-06,attended
217,3,4,2019-07-13,absent
218,3,4,2019-07-20,attended
219,3,4,2019-07-27,absent
220,3,4,2019-08-03,attended
221,3,4,2019-08-10,attended
222,3,4,2019-08-17,attended
223,3,4,2019-08-24,attended
224,3,4,2019-08-31,attended
225,3,4,2019-09-07,attended
226,3,4,2019-09-14,attended
227,3,4,2019-09-21,attended
228,3,4,2019-09-28,attended
229,3,4,2019-10-05,attended
230,3,4,2019-10-12,attended
231,3,4,2019-10-19,excused
232,3,4,2019-10-26,attended
233,3,4,2019-11-02,attended
234,3,4,2019-11-09,excused
235,3,4,2019-11-16,attended
236,3,4,2019-11-23,absent
237,3,4,2019-11-30,attended
238,3,4,2019-12-07,attended
239,3,4,2019-12-14,attended
240,3,4,2019-12-21,attended
241,3,4,2019-12-28,attended
242,4,5,2019-08-11,attended
243,4,5,2019-08-18,excused
244,4,5,2019-08-25,attended
245,4,5,2019-09-01,attended
246,4,5,2019-09-08,attended
247,4,5,2019-09-15,absent
248,4,5,2019-09-22,attended
249,4,5,2019-09-29,absent
250,4,5,2019-10-06,excused
251,4,5,2019-10-13,attended
252,4,5,2019-10-20,attended
253,4,5,2019-10-27,attended
254,4,5,2019-11-03,attended
255,4,5,2019-11-10,attended
256,4,5,2019-11-17,attended
257,4,5,2019-11-24,attended
258,4,5,2019-12-01,attended
259,4,5,2019-12-08,attended
260,4,5,2019-12-15,excused
261,4,5,2019-12-22,attended
262,4,5,2019-12-29,attended
263,5,8,2018-01-06,attended
264,5,8,2018-01-13,attended
265,5,8,2018-01-20,excused
266,5,8,2018-01-27,excused
267,5,8,2018-02-03,attended
268,5,8,2018-02-10,attended
269,5,8,2018-02-17,attended
270,5,8,2018-02-24,attended
271,5,8,2018-03-03,attended
272,5,8,2018-03-10,absent
273,5,8,2018-03-17,excused
274,5,8,2018-03-24,attended
275,5,8,2018-03-31,attended
276,5,8,2018-04-07,attended
277,5,8,2018-04-14,attended
278,5,8,2018-04-21,attended
279,5,8,2018-04-28,attended
280,5,8,2018-05-05,absent
281,5,8,2018-05-12,excused
282,5,8,2018-05-19,attended
283,5,8,2018-05-26,attended
284,5,8,2018-06-02,attended
285,5,8,2018-06-09,attended
286,5,8,2018-06-16,absent
287,5,8,2018-06-23,attended
288,5,8,2018-06-30,attended
289,5,8,2018-07-07,excused
290,5,8,2018-07-14,attended
291,5,8,2018-07-21,attended
292,5,8,2018-07-28,excused
293,5,8,2018-08-04,attended
294,5,8,2018-08-11,attended
295,5,8,2018-08-18,attended
296,5,8,2018-08-25,attended
297,5,8,2018-09-01,attended
298,5,8,2018-09-08,attended
299,5,8,2018-09-15,absent
300,5,8,2018-09-22,attended
301,5,8,2018-09-29,excused
302,5,8,2018-10-06,attended
303,5,8,2018-10-13,attended
304,5,8,2018-10-20,attended
305,5,8,2018-10-27,attended
306,5,8,2018-11-03,attended
307,5,8,2018-11-10,attended
308,5,8,2018-11-17,attended
309,5,8,2018-11-24,attended
310,5,8,2018-12-01,attended
311,5,8,2018-12-08,attended
312,5,8,2018-12-15,excused
313,5,8,2018-12-22,attended
314,5,8,2018-12-29,attended
315,5,8,2019-01-05,attended
316,5,8,2019-01-12,attended
317,5,8,2019-01-19,attended
318,5,8,2019-01-26,attended
319,5,8,2019-02-02,excused
320,5,8,2019-02-09,attended
321,5,8,2019-02-16,attended
322,5,8,2019-02-23,attended
323,5,8,2019-03-02,attended
324,5,8,2019-03-09,absent
325,5,8,2019-03-16,excused
326,5,8,2019-03-23,attended
327,5,8,2019-03-30,attended
328,5,8,2019-04-06,attended
329,5,8,2019-04-13,attended
330,5,8,2019-04-20,excused
331,5,8,2019-04-27,excused
332,5,8,2019-05-04,excused
333,5,8,2019-05-11,attended
334,5,8,2019-05-18,attended
335,5,8,2019-05-25,attended
336,5,8,2019-06-01,attended
337,5,8,2019-06-08,attended
338,5,8,2019-06-15,attended
339,5,8,2019-06-22,attended
340,5,8,2019-06-29,attended
341,5,8,2019-07-06,excused
342,5,8,2019-07-13,excused
343,5,8,2019-07-20,attended
344,5,8,2019-07-27,attended
345,5,8,2019-08-03,attended
346,5,8,2019-08-10,attended
347,5,8,2019-08-17,attended
348,5,8,2019-08-24,attended
349,5,8,2019-08-31,attended
350,5,8,2019-09-07,attended
351,5,8,2019-09-14,attended
352,5,8,2019-09-21,attended
353,5,8,2019-09-28,attended
354,5,8,2019-10-05,attended
355,5,8,2019-10-12,excused
356,5,8,2019-10-19,absent
357,5,8,2019-10-26,attended
358,5,8,2019-11-02,attended
359,5,8,2019-11-09,attended
360,5,8,2019-11-16,attended
361,5,8,2019-11-23,attended
362,5,8,2019-11-30,attended
363,5,8,2019-12-07,attended
364,5,8,2019-12-14,attended
365,5,8,2019-12-21,attended
366,5,8,2019-12-28,attended
367,6,7,2019-03-02,attended
368,6,7,2019-03-09,attended
369,6,7,2019-03-16,excused
370,6,7,2019-03-23,attended
371,6,7,2019-03-30,attended
372,6,7,2019-04-06,attended
373,6,7,2019-04-13,attended
374,6,7,2019-04-20,attended
375,6,7,2019-04-27,attended
376,6,7,2019-05-04,attended
377,6,7,2019-05-11,attended
378,6,7,2019-05-18,absent
379,6,7,2019-05-25,absent
380,6,7,2019-06-01,attended
381,6,7,2019-06-08,attended
382,6,7,2019-06-15,attended
383,6,7,2019-06-22,attended
384,6,7,2019-06-29,attended
385,6,7,2019-07-06,excused
386,6,7,2019-07-13,attended
387,6,7,2019-07-20,absent
388,6,7,2019-07-27,attended
389,6,7,2019-08-03,attended
390,6,7,2019-08-10,attended
391,6,7,2019-08-17,excused
392,6,7,2019-08-24,absent
393,6,7,2019-08-31,attended
394,6,7,2019-09-07,excused
395,6,7,2019-09-14,attended
396,6,7,2019-09-21,attended
397,6,7,2019-09-28,attended
398,6,7,2019-10-05,attended
399,6,7,2019-10-12,attended
400,6,7,2019-10-19,attended
401,6,7,2019-10-26,attended
402,6,7,2019-11-02,attended
403,6,7,2019-11-09,attended
404,6,7,2019-11-16,attended
405,6,7,2019-11-23,attended
406,6,7,2019-11-30,attended
407,6,7,2019-12-07,attended
408,6,7,2019-12-14,attended
409,6,7,2019-12-21,attended
410,6,7,2019-12-28,attended
411,7,6,2017-02-19,attended
412,7,6,2017-02-26,attended
413,7,6,2017-03-05,attended
414,7,6,2017-03-12,attended
415,7,6,2017-03-19,attended
416,7,6,2017-03-26,attended
417,7,6,2017-04-02,absent
418,7,6,2017-04-09,attended
419,7,6,2017-04-16,attended
420,7,6,2017-04-23,attended
421,7,6,2017-04-30,attended
422,7,6,2017-05-07,attended
423,7,6,2017-05-14,attended
424,7,6,2017-05-21,attended
425,7,6,2017-05-28,attended
426,7,6,2017-06-04,attended
427,7,6,2017-06-11,attended
428,7,6,2017-06-18,excused
429,7,6,2017-06-25,absent
430,7,6,2017-07-02,attended
431,7,6,2017-07-09,excused
432,7,6,2017-07-16,attended
433,7,6,2017-07-23,attended
434,7,6,2017-07-30,attended
435,7,6,2017-08-06,attended
436,7,6,2017-08-13,attended
437,7,6,2017-08-20,attended
438,7,6,2017-08-27,attended
439,7,6,2017-09-03,attended
440,7,6,2017-09-10,absent
441,7,6,2017-09-17,attended
442,7,6,2017-09-24,attended
443,7,6,2017-10-01,absent
444,7,6,2017-10-08,absent
445,7,6,2017-10-15,attended
446,7,6,2017-10-22,attended
447,7,6,2017-10-29,absent
448,7,6,2017-11-05,attended
449,7,6,2017-11-12,absent
450,7,6,2017-11-19,attended
451,7,6,2017-11-26,attended
452,7,6,2017-12-03,attended
453,7,6,2017-12-10,attended
454,7,6,2017-12-17,attended
455,7,6,2017-12-24,attended
456,7,6,2017-12-31,attended
457,7,6,2018-01-07,attended
458,7,6,2018-01-14,attended
459,7,6,2018-01-21,attended
460,7,6,2018-01-28,attended
461,7,6,2018-02-04,excused
462,7,6,2018-02-11,excused
463,7,6,2018-02-18,attended
464,7,6,2018-02-25,attended
465,7,6,2018-03-04,attended
466,7,6,2018-03-11,absent
467,7,6,2018-03-18,attended
468,7,6,2018-03-25,attended
469,7,6,2018-04-01,attended
470,7,6,2018-04-08,attended
471,7,6,2018-04-15,attended
472,7,6,2018-04-22,attended
473,7,6,2018-04-29,attended
474,7,6,2018-05-06,absent
475,7,6,2018-05-13,attended
476,7,6,2018-05-20,excused
477,7,6,2018-05-27,attended
478,7,6,2018-06-03,attended
479,7,6,2018-06-10,attended
480,7,6,2018-06-17,absent
481,7,6,2018-06-24,attended
482,7,6,2018-07-01,attended
483,7,6,2018-07-08,attended
484,7,6,2018-07-15,attended
485,7,6,2018-07-22,excused
486,7,6,2018-07-29,attended
487,7,6,2018-08-05,attended
488,7,6,2018-08-12,absent
489,7,6,2018-08-19,attended
490,7,6,2018-08-26,attended
491,7,6,2018-09-02,absent
492,7,6,2018-09-09,attended
493,7,6,2018-09-16,attended
494,7,6,2018-09-23,attended
495,7,6,2018-09-30,attended
496,7,6,2018-10-07,attended
497,7,6,2018-10-14,excused
498,7,6,2018-10-21,attended
499,7,6,2018-10-28,attended
500,7,6,2018-11-04,attended
501,7,6,2018-11-11,attended
502,7,6,2018-11-18,attended
503,7,6,2018-11-25,attended
504,7,6,2018-12-02,attended
505,7,6,2018-12-09,attended
506,7,6,2018-12-16,attended
507,7,6,2018-12-23,attended
508,7,6,2018-12-30,absent
509,7,6,2019-01-06,excused
510,7,6,2019-01-13,attended
511,7,6,2019-01-20,excused
512,7,6,2019-01-27,absent
513,7,6,2019-02-03,attended
514,7,6,2019-02-10,attended
515,7,6,2019-02-17,attended
516,7,6,2019-02-24,attended
517,7,6,2019-03-03,attended
518,7,6,2019-03-10,attended
519,7,6,2019-03-17,attended
520,7,6,2019-03-24,attended
521,7,6,2019-03-31,excused
522,7,6,2019-04-07,attended
523,7,6,2019-04-14,attended
524,7,6,2019-04-21,attended
525,7,6,2019-04-28,absent
526,7,6,2019-05-05,absent
527,7,6,2019-05-12,attended
528,7,6,2019-05-19,attended
529,7,6,2019-05-26,absent
530,7,6,2019-06-02,attended
531,7,6,2019-06-09,absent
532,7,6,2019-06-16,excused
533,7,6,2019-06-23,attended
534,7,6,2019-06-30,attended
535,7,6,2019-07-07,attended
536,7,6,2019-07-14,attended
537,7,6,2019-07-21,attended
538,7,6,2019-07-28,attended
539,7,6,2019-08-04,attended
540,7,6,2019-08-11,attended
541,7,6,2019-08-18,attended
542,7,6,2019-08-25,absent
543,7,6,2019-09-01,attended
544,7,6,2019-09-08,attended
545,7,6,2019-09-15,absent
546,7,6,2019-09-22,attended
547,7,6,2019-09-29,attended
548,7,6,2019-10-06,attended
549,7,6,2019-10-13,attended
550,7,6,2019-10-20,attended
551,7,6,2019-10-27,attended
552,7,6,2019-11-03,attended
553,7,6,2019-11-10,attended
554,7,6,2019-11-17,attended
555,7,6,2019-11-24,attended
556,7,6,2019-12-01,absent
557,7,6,2019-12-08,attended
558,7,6,2019-12-15,attended
559,7,6,2019-12-22,attended
560,7,6,2019-12-29,attended
561,8,2,2019-11-17,attended
562,8,2,2019-11-24,attended
563,8,2,2019-12-01,attended
564,8,2,2019-12-08,attended
565,8,2,2019-12-15,absent
566,8,2,2019-12-22,absent
567,8,2,2019-12-29,attended
568,9,5,2018-01-06,attended
569,9,5,2018-01-13,attended
570,9,5,2018-01-20,attended
571,9,5,2018-01-27,excused
572,9,5,2018-02-03,attended
573,9,5,2018-02-10,attended
574,9,5,2018-02-17,attended
575,9,5,2018-02-24,attended
576,9,5,2018-03-03,absent
577,9,5,2018-03-10,attended
578,9,5,2018-03-17,attended
579,9,5,2018-03-24,attended
580,9,5,2018-03-31,absent
581,9,5,2018-04-07,attended
582,9,5,2018-04-14,attended
583,9,5,2018-04-21,attended
584,9,5,2018-04-28,attended
585,9,5,2018-05-05,attended
586,9,5,2018-05-12,attended
587,9,5,2018-05-19,attended
588,9,5,2018-05-26,attended
589,9,5,2018-06-02,attended
590,9,5,2018-06-09,excused
591,9,5,2018-06-16,attended
592,9,5,2018-06-23,attended
593,9,5,2018-06-30,attended
594,9,5,2018-07-07,attended
595,9,5,2018-07-14,excused
596,9,5,2018-07-21,attended
597,9,5,2018-07-28,attended
598,9,5,2018-08-04,attended
599,9,5,2018-08-11,attended
600,9,5,2018-08-18,attended
601,9,5,2018-08-25,attended
602,9,5,2018-09-01,excused
603,9,5,2018-09-08,absent
604,9,5,2018-09-15,attended
605,9,5,2018-09-22,attended
606,9,5,2018-09-29,attended
607,9,5,2018-10-06,absent
608,9,5,2018-10-13,attended
609,9,5,2018-10-20,attended
610,9,5,2018-10-27,absent
611,9,5,2018-11-03,attended
612,9,5,2018-11-10,absent
613,9,5,2018-11-17,attended
614,9,5,2018-11-24,attended
615,9,5,2018-12-01,attended
616,9,5,2018-12-08,attended
617,9,5,2018-12-15,excused
618,9,5,2018-12-22,attended
619,9,5,2018-12-29,attended
620,9,5,2019-01-05,excused
621,9,5,2019-01-12,attended
622,9,5,2019-01-19,attended
623,9,5,2019-01-26,attended
624,9,5,2019-02-02,attended
625,9,5,2019-02-09,attended
626,9,5,2019-02-16,attended
627,9,5,2019-02-23,absent
628,9,5,2019-03-02,excused
629,9,5,2019-03-09,attended
630,9,5,2019-03-16,excused
631,9,5,2019-03-23,absent
632,9,5,2019-03-30,excused
633,9,5,2019-04-06,attended
634,9,5,2019-04-13,attended
635,9,5,2019-04-20,excused
636,9,5,2019-04-27,attended
637,9,5,2019-05-04,attended
638,9,5,2019-05-11,attended
639,9,5,2019-05-18,attended
640,9,5,2019-05-25,attended
641,9,5,2019-06-01,attended
642,9,5,2019-06-08,attended
643,9,5,2019-06-15,attended
644,9,5,2019-06-22,attended
645,9,5,2019-06-29,attended
646,9,5,2019-07-06,excused
647,9,5,2019-07-13,attended
648,9,5,2019-07-20,attended
649,9,5,2019-07-27,absent
650,9,5,2019-08-03,attended
651,9,5,2019-08-10,attended
652,9,5,2019-08-17,excused
653,9,5,2019-08-24,excused
654,9,5,2019-08-31,attended
655,9,5,2019-09-07,attended
656,9,5,2019-09-14,attended
657,9,5,2019-09-21,attended
658,9,5,2019-09-28,absent
659,9,5,2019-10-05,absent
660,9,5,2019-10-12,attended
661,9,5,2019-10-19,attended
662,9,5,2019-10-26,attended
663,9,5,2019-11-02,attended
664,9,5,2019-11-09,attended
665,9,5,2019-11-16,attended
666,9,5,2019-11-23,attended
667,9,5,2019-11-30,attended
668,9,5,2019-12-07,attended
669,9,5,2019-12-14,attended
670,9,5,2019-12-21,attended
671,9,5,2019-12-28,attended
672,10,6,2019-07-07,attended
673,10,6,2019-07-14,attended
674,10,6,2019-07-21,attended
675,10,6,2019-07-28,attended
676,10,6,2019-08-04,attended
677,10,6,2019-08-11,excused
678,10,6,2019-08-18,attended
679,10,6,2019-08-25,attended
680,10,6,2019-09-01,attended
681,10,6,2019-09-08,attended
682,10,6,2019-09-15,attended
683,10,6,2019-09-22,excused
684,10,6,2019-09-29,attended
685,10,6,2019-10-06,attended
686,10,6,2019-10-13,attended
687,10,6,2019-10-20,attended
688,10,6,2019-10-27,attended
689,10,6,2019-11-03,attended
690,10,6,2019-11-10,absent
691,10,6,2019-11-17,attended
692,10,6,2019-11-24,attended
693,10,6,2019-12-01,attended
694,10,6,2019-12-08,absent
695,10,6,2019-12-15,attended
696,10,6,2019-12-22,absent
697,10,6,2019-12-29,attended
698,11,5,2019-06-30,attended
699,11,5,2019-07-07,attended
700,11,5,2019-07-14,attended
701,11,5,2019-07-21,attended
702,11,5,2019-07-28,attended
703,11,5,2019-08-04,attended
704,11,5,2019-08-11,attended
705,11,5,2019-08-18,attended
706,11,5,2019-08-25,excused
707,11,5,2019-09-01,attended
708,11,5,2019-09-08,excused
709,11,5,2019-09-15,attended
710,11,5,2019-09-22,absent
711,11,5,2019-09-29,attended
712,11,5,2019-10-06,attended
713,11,5,2019-10-13,attended
714,11,5,2019-10-20,attended
715,11,5,2019-10-27,attended
716,11,5,2019-11-03,attended
717,11,5,2019-11-10,attended
718,11,5,2019-11-17,attended
719,11,5,2019-11-24,absent
720,11,5,2019-12-01,attended
721,11,5,2019-12-08,attended
722,11,5,2019-12-15,attended
723,11,5,2019-12-22,attended
724,11,5,2019-12-29,attended
725,12,2,2017-05-21,attended
726,12,2,2017-05-28,absent
727,12,2,2017-06-04,absent
728,12,2,2017-06-11,attended
729,12,2,2017-06-18,attended
730,12,2,2017-06-25,attended
731,12,2,2017-07-02,attended
732,12,2,2017-07-09,attended
733,12,2,2017-07-16,attended
734,12,2,2017-07-23,attended
735,12,2,2017-07-30,attended
736,12,2,2017-08-06,absent
737,12,2,2017-08-13,absent
738,12,2,2017-08-20,attended
739,12,2,2017-08-27,excused
740,12,2,2017-09-03,attended
741,12,2,2017-09-10,attended
742,12,2,2017-09-17,absent
743,12,2,2017-09-24,attended
744,12,2,2017-10-01,attended
745,12,2,2017-10-08,attended
746,12,2,2017-10-15,attended
747,12,2,2017-10-22,attended
748,12,2,2017-10-29,attended
749,12,2,2017-11-05,excused
750,12,2,2017-11-12,absent
751,12,2,2017-11-19,attended
752,12,2,2017-11-26,attended
753,12,2,2017-12-03,excused
754,12,2,2017-12-10,attended
755,12,2,2017-12-17,attended
756,12,2,2017-12-24,attended
757,12,2,2017-12-31,attended
758,12,2,2018-01-07,excused
759,12,2,2018-01-14,attended
760,12,2,2018-01-21,absent
761,12,2,2018-01-28,excused
762,12,2,2018-02-04,attended
763,12,2,2018-02-11,attended
764,12,2,2018-02-18,excused
765,12,2,2018-02-25,attended
766,12,2,2018-03-04,attended
767,12,2,2018-03-11,attended
768,12,2,2018-03-18,attended
769,12,2,2018-03-25,attended
770,12,2,2018-04-01,absent
771,12,2,2018-04-08,attended
772,12,2,2018-04-15,absent
773,12,2,2018-04-22,attended
774,12,2,2018-04-29,attended
775,12,2,2018-05-06,attended
776,12,2,2018-05-13,attended
777,12,2,2018-05-20,attended
778,12,2,2018-05-27,attended
779,12,2,2018-06-03,attended
780,12,2,2018-06-10,attended
781,12,2,2018-06-17,attended
782,12,2,2018-06-24,attended
783,12,2,2018-07-01,attended
784,12,2,2018-07-08,attended
785,12,2,2018-07-15,attended
786,12,2,2018-07-22,attended
787,12,2,2018-07-29,attended
788,12,2,2018-08-05,attended
789,12,2,2018-08-12,excused
790,12,2,2018-08-19,attended
791,12,2,2018-08-26,absent
792,12,2,2018-09-02,attended
793,12,2,2018-09-09,attended
794,12,2,2018-09-16,attended
795,12,2,2018-09-23,attended
796,12,2,2018-09-30,excused
797,12,2,2018-10-07,attended
798,12,2,2018-10-14,attended
799,12,2,2018-10-21,attended
800,12,2,2018-10-28,attended
801,12,2,2018-11-04,attended
802,12,2,2018-11-11,attended
803,12,2,2018-11-18,attended
804,12,2,2018-11-25,attended
805,12,2,2018-12-02,attended
806,12,2,2018-12-09,attended
807,12,2,2018-12-16,attended
808,12,2,2018-12-23,attended
809,12,2,2018-12-30,attended
810,12,2,2019-01-06,attended
811,12,2,2019-01-13,attended
812,12,2,2019-01-20,attended
813,12,2,2019-01-27,attended
814,12,2,2019-02-03,attended
815,12,2,2019-02-10,attended
816,12,2,2019-02-17,absent
817,12,2,2019-02-24,attended
818,12,2,2019-03-03,attended
819,12,2,2019-03-10,attended
820,12,2,2019-03-17,attended
821,12,2,2019-03-24,attended
822,12,2,2019-03-31,attended
823,12,2,2019-04-07,attended
824,12,2,2019-04-14,attended
825,12,2,2019-04-21,attended
826,12,2,2019-04-28,attended
827,12,2,2019-05-05,attended
828,12,2,2019-05-12,attended
829,12,2,2019-05-19,excused
830,12,2,2019-05-26,attended
831,12,2,2019-06-02,attended
832,12,2,2019-06-09,attended
833,12,2,2019-06-16,attended
834,12,2,2019-06-23,attended
835,12,2,2019-06-30,attended
836,12,2,2019-07-07,absent
837,12,2,2019-07-14,excused
838,12,2,2019-07-21,attended
839,12,2,2019-07-28,attended
840,12,2,2019-08-04,attended
841,12,2,2019-08-11,attended
842,12,2,2019-08-18,attended
843,12,2,2019-08-25,attended
844,12,2,2019-09-01,absent
845,12,2,2019-09-08,attended
846,12,2,2019-09-15,attended
847,12,2,2019-09-22,attended
848,12,2,2019-09-29,attended
849,12,2,2019-10-06,attended
850,12,2,2019-10-13,attended
851,12,2,2019-10-20,excused
852,12,2,2019-10-27,attended
853,12,2,2019-11-03,attended
854,12,2,2019-11-10,attended
855,12,2,2019-11-17,attended
856,12,2,2019-11-24,attended
857,12,2,2019-12-01,absent
858,12,2,2019-12-08,attended
859,12,2,2019-12-15,absent
860,12,2,2019-12-22,absent
861,12,2,2019-12-29,attended
862,13,8,2019-08-18,attended
863,13,8,2019-08-25,absent
864,13,8,2019-09-01,attended
865,13,8,2019-09-08,excused
866,13,8,2019-09-15,attended
867,13,8,2019-09-22,attended
868,13,8,2019-09-29,attended
869,13,8,2019-10-06,attended
870,13,8,2019-10-13,attended
871,13,8,2019-10-20,attended
872,13,8,2019-10-27,attended
